DocumentTitle;Authors;AuthorAffiliations;PublicationTitle;DateAddedToXplore;PublicationYear;Volume;Issue;StartPage;EndPage;Abstract;ISSN;ISBNs;DOI;FundingInformation;PDFLink;AuthorKeywords;IEEETerms;INSPECControlled Terms;INSPECNon-ControlledTerms;Mesh_Terms;ArticleCitationCount;PatentCitationCount;ReferenceCount;License;OnlineDate;IssueDate;MeetingDate;Publisher;DocumentIdentifier
Cotton Leaf Disease Detection using Convolutional Neural Networks (CNN);"S. Sharmila; R. Bhargavi; R. Y. Anusha; K. Anusha; B. Divya";"Dept. of IT, Vignan’s Nirula Institute of Technology and Science for Women, Guntur, AP; Dept. of IT, Vignan’s Nirula Institute of Technology and Science for Women, Guntur, AP; Dept. of IT, Vignan’s Nirula Institute of Technology and Science for Women, Guntur, AP; Dept. of IT, Vignan’s Nirula Institute of Technology and Science for Women, Guntur, AP; Dept. of IT, Vignan’s Nirula Institute of Technology and Science for Women, Guntur, AP";2023 Second International Conference on Electronics and Renewable Systems (ICEARS);5.4.2023;2023;;;1179;1185;Deep learning is a subset of artificial intelligence. It's a form of artificial intelligence and machine learning that attempts to simulate the way humans pick up specific types of information. The goal of this project is to create a deep learning model based on convolutional neural networks that can distinguish between healthy and diseased leaves. Due to its useful features in learner autonomy and extraction of features, it has drawn a great deal of attention in past years from researchers and industry professionals alike. Images of healthy and rotting leaves are included in the dataset. It is widely used in fields such as computational linguistics, voice processing, image processing, and video processing. It has also become a center for studies on agricultural plant protection, such as the detection of plant diseases and the assessment of pest ranges. This study has also discussed about some of the problems and issues that are currently being faced and need to be addressed. Library packages such as KERAS, MATPLOTLIB, NUMPY, and OPENCV have been utilized here.;;979-8-3503-4664-0;10.1109/ICEARS56392.2023.10085551;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10085551;"Dead leaves;Artificial Intelligence;Color Analysis in images;Feature Extraction;Deep Learning";"Training;Deep learning;Renewable energy sources;Plant diseases;Plants (biology);Feature extraction;Libraries";"agriculture;artificial intelligence;computational linguistics;convolutional neural nets;cotton;crops;deep learning (artificial intelligence);diseases;feature extraction;image classification;learning (artificial intelligence);pest control;plant diseases;Python;video signal processing";"agricultural plant protection;artificial intelligence;convolutional neural networks;cotton leaf disease detection;deep learning model;diseased leaves;healthy leaves;image processing;industry professionals;learner autonomy;machine learning;plant diseases;rotting leaves;video processing;voice processing";;;;18;IEEE;5.4.2023;;;IEEE;IEEE Conferences
Detection and Estimation of Tree Canopy using Deep Learning and Sensor Fusion;"S. S.Patil; Y. M. Patil; S. B. Patil";"Electronics & Tele.comm.Engg. KIT Kolhapur, Kolhapur, India; Electronics & Tele.comm.Engg. KIT Kolhapur, Kolhapur, India; Farm Machinery & Power Engg. D.Y.Patil, CAET, Talsande, India";2023 International Conference for Advancement in Technology (ICONAT);3.4.2023;2023;;;1;5;By utilizing cutting-edge information technologies, the unique idea of “precision agriculture” seeks to boost the production and efficacy of agriculture. Growers are better equipped to monitor every step of the production process and administer precise treatments chosen by machines with remarkable precision due to the most recent advancements in automation, artificial intelligence, and networking. Methods to reduce the number of human labour required in agriculture are still being developed by experts. Precision farming develops into a training system that gets smart every day as vital information resources get better. With regard to autonomous feature extraction, deep learning networks offer a considerable advantage over earlier algorithms because they don’t require human participation. Deep learning (AI) and LiDAR technology combined with smart agricultural equipment can optimise spraying procedures. This study used the ficus, guava, and palm as case studies to create and assess canopy detection and estimating system. To scan trees for its height, distance, categorization, and canopy identification, the prototype included a LiDAR, machine vision, sensor fusion, and AI. Results for the tree canopy estimate provided by the smart canopy detecting system showed a relatively low average error and predicted accuracy.;;978-1-6654-7517-4;10.1109/ICONAT57137.2023.10080785;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10080785;"Precision agriculture;Deep learning;Sensor fusion;Canopy detection & Estimation.";"Deep learning;Training;Laser radar;Spraying;Estimation;Vegetation;Production";"agriculture;artificial intelligence;computer vision;deep learning (artificial intelligence);feature extraction;optical radar;sensor fusion";"administer precise treatments;AI;artificial intelligence;autonomous feature extraction;canopy detection;canopy identification;considerable advantage;cutting-edge information technologies;deep learning networks;earlier algorithms;estimating system;growers;human labour;human participation;LiDAR;machine vision;precision agriculture;precision farming;production process;remarkable precision;scan trees;sensor fusion;smart agricultural equipment;smart canopy detecting system;spraying procedures;training system;tree canopy estimate;unique idea;vital information resources";;2;;25;IEEE;3.4.2023;;;IEEE;IEEE Conferences
Feature Alignment and Contrastive Learning for Dense Instance Segmentation;"F. He; Z. Rong; Y. Jiang; F. Ni";"College of Informatics, Huazhong Agricultural University, Wuhan, China; College of Informatics, Huazhong Agricultural University, Wuhan, China; College of Informatics, Huazhong Agricultural University, Wuhan, China; College of Informatics, Huazhong Agricultural University, Wuhan, China";2023 International Conference on Communications, Computing and Artificial Intelligence (CCCAI);12.9.2023;2023;;;52;56;Instance segmentation is an important but challenging computer vision task. Existing approaches struggle to recognize independent objects in dense scenarios where objects are tightly in contact. In this paper, we propose a segmentation network called FAC-Mask. On the one hand, it incorporates a feature alignment module, which facilitates the network to effectively integrate multi-scale information. On the other hand, we design a contrastive learning module to assist the segmentation head in feature representation learning, by learning common features among similar instances and distinguishing differences between non-similar instances. We conduct experiments on the Cityspace dataset, our model improves the detection and segmentation accuracy by +2.4% and +2.8% when fused with RefineMask. The results have demonstrated the efficacy of our method.;;979-8-3503-1129-7;10.1109/CCCAI59026.2023.00018;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10242641;"Instance segmentation;Dense prediction;Feature alignment;Contrastive learning";"Representation learning;Computer vision;Computational modeling;Learning (artificial intelligence);Telecommunication computing;Task analysis";"computer vision;deep learning (artificial intelligence);feature extraction;image segmentation;object detection";"computer vision;contrastive learning module;dense instance segmentation;FAC-Mask;feature alignment module;independent objects;multiscale information;representation learning";;;;23;IEEE;12.9.2023;;;IEEE;IEEE Conferences
University - Research - Farm Cooperation to Identify the Halyomorpha Halys Invasion in Orchards;"D. Popescu; L. Ichim";"Faculty of Automation and Computer Science, University POLITEHNICA of Bucharest, Bucharest, Romania; Faculty of Automation and Computer Science, University POLITEHNICA of Bucharest, Bucharest, Romania";2023 IEEE Global Engineering Education Conference (EDUCON);22.5.2023;2023;;;1;5;Nowadays, multidisciplinary research is found everywhere, especially due to the accelerated development of computer science and information and communication technology in all economic and social fields. In many universities, including the POLITEHNICA University in Bucharest, research as a subject is considered multidisciplinary through case studies and concrete applications. The paper presents a multidisciplinary project implemented under ERA-NET COFOUND, ICT-AGRI-FOOD 2019 Joint Call. This project implies multiple collaborations inside and between different groups: disciplines (computer science-image processing-artificial intelligence-robotics-entomology-agriculture), domains (universities-research-farms), countries, and teams (teachers-researchers-students-farmers). The resulting impact of this collaboration is also multiple: educational, economic, and social. From an educational point of view, the results consisted of course chapters, themes for undergraduate, master, and doctoral degrees, and papers in important international conferences or journals made by teams of students, researchers, and professors.;2165-9567;979-8-3503-9943-1;10.1109/EDUCON54358.2023.10125239;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125239;"multidisciplinary approach;multinational project;research - education - farm cooperation;undergraduate - master - doctorate - professor team;aerial robots;insect detection;image processing;artificial intelligence";"Economics;Computer science;Educational robots;Collaboration;Medical services;Information and communication technology;Engineering education";"agriculture;artificial intelligence;educational courses;educational institutions";"accelerated development;agriculture;artificial intelligence;computer science;economic fields;entomology;ERA-NET COFOUND;farm cooperation;halyomorpha halys invasion;ICT-AGRI-FOOD 2019 Joint Call;image processing;information and communication technology;multidisciplinary project;multidisciplinary research;orchards;POLITEHNICA University;robotics;social fields;teachers-researchers-students-farmers;universities-research-farms";;;;15;IEEE;22.5.2023;;;IEEE;IEEE Conferences
Forecast Plant life using Artificial Intelligence;"Sravanthi; B. R. N. Singh; BandaruPranathi; B. S. Rani; ChandaSharanya; V. S. Varsha";"Department of Information Technology, Bhoj Reddy Engineering College for Women, Hyderabad, Telangana, India; Department of Computer Science and Engineering, Bhoj Reddy Engineering College for Women, Hyderabad, Telangana, India; Bhoj Reddy Engineering College for Women, Hyderabad, Telangana, India; Bhoj Reddy Engineering College for Women, Hyderabad, Telangana, India; Bhoj Reddy Engineering College for Women, Hyderabad, Telangana, India; Bhoj Reddy Engineering College for Women, Hyderabad, Telangana, India";2023 International Conference on Advances in Computing, Communication and Applied Informatics (ACCAI);4.8.2023;2023;;;1;6;India is primarily an agricultural economy, hence accurate diagnosis of plant diseases is crucial to minimizing economic losses. Spending millions of rupees every year to safeguard crops from a wide range of diseases is only possible because of the outdated methods of plant disease diagnosis. Human detection of plant disease is imperfect at best. There is no guarantee of an accurate outcome, even with the help of experts in plant diseases, the time, effort, and knowledge required to diagnose the precise illness. Machine learning and image processing are two such technologies that have proven effective in this regard. By analysing plant photos captured by cameras, we show how machine learning may be applied to a specific issue in plant disease diagnosis.;;979-8-3503-1590-5;10.1109/ACCAI58221.2023.10199519;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10199519;"""Open CV"";""SVM"";""feature extraction"";""segmentation"";plantdisease;Human detection";"Support vector machines;Economics;Plant diseases;Crops;Machine learning;Feature extraction;Cameras";"agriculture;crops;image segmentation;learning (artificial intelligence);plant diseases";"agricultural economy;artificial intelligence;cameras;crops;image processing;India;machine learning;plant disease diagnosis;plant life forecasting;plant photo analysis";;;;10;IEEE;4.8.2023;;;IEEE;IEEE Conferences
Multilayer Convolutional Neural Network Based Approach to Detect Apple Foliar Disease;"B. Biswas; R. K. Yadav";"Department of Computer Science & Engineering, Delhi Technological University, Delhi, India; Department of Computer Science & Engineering, Delhi Technological University, Delhi, India";2023 2nd International Conference for Innovation in Technology (INOCON);19.4.2023;2023;;;1;5;Around 38% of land in the world is used for agriculture and the whole world is completely dependent on agriculture. So, that’s why good crop yield is very important to get high agricultural output. A single disease in a plant can lower crop yield. So, to maintain a high agricultural output, we need to detect disease at the early stage so that the agricultural output should be maintained. There are multiple ways to detect plant disease like detecting a plant disease by using the naked eye by hiring an expert, or by using Artificial Intelligence (AI). By using AI, it takes less time to detect plant disease as compared to detecting using the naked eye. Deep Learning (DL), the sub-branch of AI gives an accurate result as compared to the other sub-branches of AI. In DL, Convolutional Neural Network or CovNet is the latest and revolutionary algorithm to perform this task. An apple tree disease detection model, based on Multilayer CNN, is presented in the paper. To train the proposed Multilayer CNN model, the data is collected from FGVC8 dataset from Plant Pathology 2021, a Kaggle Competition which is supported by the “Cornell Initiative for Digital Agriculture Decision Trees, Logistic Regression, and Random Forests are machine learning algorithms that are compared with the performance of the proposed model. This study shows that the proposed model outperforms Machine Learning algorithms with the accuracy of 91%, Precision of 89%, Recall of 85% and F1-Score of 88.34%.;;979-8-3503-2092-3;10.1109/INOCON57975.2023.10101125;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10101125;"Apple Foliar Disease;Artificial Intelligence (AI);Convolutional Neural Network (CNN);Deep Learning (DL);Machine Learning (ML);Plant Disease Detection";"Plant diseases;Technological innovation;Machine learning algorithms;Crops;Nonhomogeneous media;Data models;Convolutional neural networks";"agriculture;artificial intelligence;convolutional neural nets;crops;decision trees;deep learning (artificial intelligence);diseases;learning (artificial intelligence);logistic regression;neural nets;plant diseases;random forests;regression analysis";"AI;apple tree disease detection model;detect apple foliar disease;Digital Agriculture Decision Trees;good crop yield;high agricultural output;machine learning algorithms;Multilayer CNN model;Multilayer Convolutional Neural Network;naked eye;plant disease;Plant Pathology 2021;single disease";;;;16;IEEE;19.4.2023;;;IEEE;IEEE Conferences
Efficient Disease Detection of Paddy Crop using Improved Artificial Intelligence Method;"A. K. Koshariya; M. S. Manjunath; G. Ananthanath; K. S. Vinayaka; R. Sugumar; N. Nishant";"Department of Plant Pathology, School of Agriculture, Lovely Professional University, Phagwara, Punjab, India; Department of Plant Pathology, School of Agriculture, Lovely Professional University, Jalandhar, Punjab, India; Department of MCA, KMM, Institute of Post Graduate Studies, Tirupati, Andhra Pradesh, India; Department of Botany, Sri Venkatramana Swamy College, Bantwal Dakshina Kannada, Karnataka, India; Department of CSE, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences (SIMATS) Thandalam, Chennai, Tamilnadu, India.; Department of Computer Science and Engineering, School of Engineering, Babu Banarasi Das University, Lucknow, India.";2023 4th International Conference on Electronics and Sustainable Communication Systems (ICESC);1.8.2023;2023;;;1637;1642;A fascinating area of agricultural research is the application of machine learning (ML) principles from computer science to the identification of diseases in images of rice plants. The spread of pests and diseases that affect rice has accelerated in recent years. It is essential to recognize symptoms and when and how to effectively control diseases. The primary factor that contributes to yield loss in the agricultural sector is a widespread disease. More often than not, infection acknowledgment and finding happen when the disease has progressed to a super level, achieving a lack of yield, time, and money. A Picture Handling and worked on Deep Learning (DL) model is utilized to identify sicknesses in rice plants is essential until further notice. As a result, the goal of this research is to find out how well the new DL architectures classify the dataset on rice plant disease. In light of notable datasets, tests show that the proposed strategy takes a higher order rate than additional current techniques.;;979-8-3503-0009-3;10.1109/ICESC57686.2023.10193497;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10193497;"Machine Learning;Rice;Deep Learning;Disease detection;Classification";"Deep learning;Computer science;Plant diseases;Communication systems;Plants (biology);Crops;Computer architecture";"agriculture;artificial intelligence;crops;deep learning (artificial intelligence);plant diseases";"agricultural research;agricultural sector;artificial intelligence method;deep learning;disease detection;machine learning principles;paddy crop;rice plants";;;;15;IEEE;1.8.2023;;;IEEE;IEEE Conferences
Identification and Classification of Diseases in Climbers using ML Algorithms;"M. Alagumeenaakshi; R. R; K. S; A. M";"Department of ECE, Kumaraguru College of Technology, Coimbatore, India; Department of ECE, Kumaraguru College of Technology, Coimbatore, India; Department of ECE, Kumaraguru College of Technology, Coimbatore, India; Department of ECE, Kumaraguru College of Technology, Coimbatore, India";2023 2nd International Conference on Advancements in Electrical, Electronics, Communication, Computing and Automation (ICAECA);7.8.2023;2023;;;1;6;Climber plants like grapes grow while spreading across the field and it is a time-consuming process to check the whole field for identification of disease and its infection among the grown plants. Artificial Intelligence is a resourceful tool for supporting these difficult tasks. Dataset collection plays a significant role for the efficient working of Machine Learning Algorithms. The usage of drones with camera to collect the datasets from the real agricultural fields and using the captured dataset for training the different ML algorithms have enabled the identification and classification of diseases in Grapes on a real time basis. As a part of this work, three different Machine Learning Algorithms are compared in terms of accuracy and the results portray that ResNet-50 architecture & algorithm provides the best and optimum accuracy for a specific chosen system configuration.;;979-8-3503-0681-1;10.1109/ICAECA56562.2023.10200164;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10200164;"Artificial Intelligence;Machine Learning Algorithms;Disease Identification;Classification;Climbers";"Training;Analytical models;Machine learning algorithms;Computational modeling;Pipelines;Classification algorithms;Telecommunication computing";"agriculture;artificial intelligence;convolutional neural nets;deep learning (artificial intelligence);diseases;image classification;learning (artificial intelligence)";"agricultural fields;Artificial Intelligence;captured dataset;climber plants;climbers;dataset collection;different Machine;different ML algorithms;grapes;grown plants;ResNet-50 architecture & algorithm;resourceful tool;time basis;time-consuming process";;;;6;IEEE;7.8.2023;;;IEEE;IEEE Conferences
Evaluation of Unmanned Aerial Vehicles for Precision Agriculture Based on Integrated Fuzzy Decision-Making Approach;"A. N. Jasim; L. C. Fourati; O. S. Albahri";"Laboratory of Signals Systems Artificial Intelligence Networks (SM@RTS), Digital Research Center of Sfax (CRNS), University of Sfax, Sfax, Tunisia; Laboratory of Signals Systems Artificial Intelligence Networks (SM@RTS), Digital Research Center of Sfax (CRNS), University of Sfax, Sfax, Tunisia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, VIC, Australia";IEEE Access;26.7.2023;2023;11;;75037;75062;The drone, also known as an unmanned aerial vehicle (UAV), offers significant advantages for precision agriculture by reducing the need for conventional farming practices that require more manpower. The use of drones in agriculture offers significant economic and time-saving benefits. The evaluation of UAVs’ performance is urgently needed in light of their proliferation in agriculture during the past few decades. This evaluation falls under the complex multicriteria decision-making (MCDM) problem due to the existence of multicriteria, criteria importance, and trade-offs or conflicts amongst them. Thus, the main purpose of this study is to offer an integrated fuzzy MCDM approach based on two significant methods. The first method is the fuzzy-weighted zero-inconsistency (FWZIC) method for calculating the UAV criteria (i.e., payload, endurance, and dimensions) weight coefficients. The second method is the fuzzy decision by opinion score method (FDOSM) for UAV alternative selection based on individual and group decision-making (GDM) settings. The decision matrix used in the selection approach of UAV categories is formulated based on the intersection of payload, endurance, and dimensions criteria and the UAV alternatives list. The findings show that (1) the FWZIC has effectively determined the criteria weights with a zero inconsistency rate. The maximum weight value is given to the payload criterion (0.428), whereas the dimension criterion was given the least value weight (0.199). (2) In the context of GDM, FDOSM is used to eliminate the dissimilarity between individual MCDM results across all categories of UAV. Finally, objective validation and sensitivity analysis were utilized to evaluate the strength of UAV selection results.;2169-3536;;10.1109/ACCESS.2023.3294094;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10177736;"Drone;FWZIC;FDOSM;multicriteria decision-making;agriculture;UAV";"Agriculture;Payloads;Autonomous aerial vehicles;Drones;Sensors;Costs;Analytic hierarchy process";"agriculture;autonomous aerial vehicles;decision making;fuzzy set theory;sensitivity analysis";"complex multicriteria decision-making problem;conventional farming practices;criteria weights;decision matrix;dimension criterion;FDOSM;fuzzy-weighted zero-inconsistency method;FWZIC;individual MCDM results;integrated fuzzy decision-making approach;integrated fuzzy MCDM approach;maximum weight value;opinion score method;payload criterion;precision agriculture;selection approach;time-saving benefits;UAV alternative selection;UAV alternatives list;UAV categories;UAV criteria;UAV selection results;unmanned aerial vehicle;value weight;zero inconsistency rate;zero-inconsistency method";;1;;77;CCBYNCND;10.7.2023;;;IEEE;IEEE Journals
On-spot Citrus Canker Disease Detection using YOLOv7;"A. Sri Krishna; S. M.; N. S. Rani; P. B. R.";"Department of Computer Science, Mysuru Campus Amrita Vishwa, Amrita School of Computing, Vidyapeetham, India; Department of Computer Science, Mysuru Campus Amrita Vishwa, Amrita School of Computing, Vidyapeetham, India; Department of Computer Science, Mysuru Campus Amrita Vishwa, Amrita School of Computing, Vishwa Vidyapeetham, India; Department of Computer Science, Mysuru Campus Amrita Vishwa, Amrita School of Computing, Vishwa Vidyapeetham, India";2023 2nd International Conference on Applied Artificial Intelligence and Computing (ICAAIC);8.6.2023;2023;;;944;949;Citrus lemon plants are widely cultivated in India and have a variety of uses, including in horticulture, cuisine, medicine, and industry. However, they are vulnerable to various diseases that may significantly reduce their yield and quality. Hence, early detection is crucial for timely treatment and prevention of further spread. Convolutional neural networks (CNN) have been widely used in plant disease detection. However, these methods may not be suitable for real-world images with multiple leaves and multiple diseases. Instead, object detection models, such as the YOLOv7 model can better handle the challenges present in in-field images of citrus lemon plants with multiple diseases. The results show that the proposed method can detect multiple diseases on citrus lemon plants with significant accuracy for use in real-time conditions. The proposed method obtained a mean average precision (mAP) of 0.698 with an IoU threshold of 50%.;;978-1-6654-5630-2;10.1109/ICAAIC56838.2023.10141105;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10141105;"Deep Learning;Object Detection;Citrus lemon;Plant Disease Detection";"Plant diseases;Computational modeling;Horticulture;Object detection;Real-time systems;Convolutional neural networks;Artificial intelligence;Diseases";"agriculture;convolutional neural nets;deep learning (artificial intelligence);diseases;feature extraction;horticulture;image classification;object detection;plant diseases";"citrus lemon plants;convolutional neural networks;detection models;multiple diseases;multiple leaves;plant disease detection;spot citrus canker disease detection;timely treatment;YOLOv7 model";;;;23;IEEE;8.6.2023;;;IEEE;IEEE Conferences
Implementation of Artificial Intelligence Technology for Better Irrigation System;"P. K. Tomar; R. Sobti; R. Prasad; K. L. Prasanna; A. Jain; S. Sharma";"Department of Electronics & Communication, Kurukshetra University, Haryana, India; Lovely Professional University, Phagwara, Punjab, India; Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, Uttarakhand, India; School of Agriculture, SR University, Telangana, India; Department Computer Applications, MRIIRS, Faridabad, Haryana, India; Department of Computer Applications, MRIIRS, Faridabad, Haryana, India";2023 3rd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE);24.7.2023;2023;;;2766;2770;Agriculture is a vital industry for economic growth, but inefficient irrigation techniques can waste a lot of water. Artificial intelligence (AI) technology integration in irrigation systems has been suggested as a viable remedy to this problem. This study describes a system that automates irrigation and only waters crops when necessary depending on climate and soil moisture conditions. The system incorporates data on soil moisture, AI, and the Internet of Things (IoT). During testing in a controlled environment, this integrated strategy demonstrated promising results with an accuracy rate of 80%. However, it is crucial to take into account how readily available and inexpensive such technologies are for all farmers, especially those in underdeveloped nations where the agricultural industry is dominated by informal labor. AI technology integration in irrigation systems can increase agricultural output and efficiency while lowering water waste. To make sure that such technologies are available and advantageous for all farmers, it is vital to take into account the socioeconomic environment and potential adoption barriers. The feasibility and scalability of deploying such systems on a bigger scale could be the subject of future research.;;979-8-3503-9926-4;10.1109/ICACITE57410.2023.10182791;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10182791;"Artificial intelligence;irrigation;agriculture;internet of things;soil moisture";"Water;Irrigation;Soil moisture;Moisture;Water conservation;Sensors;Stormwater";"artificial intelligence;crops;Internet of Things;irrigation;moisture;soil";"agricultural industry;agricultural output;AI technology integration;artificial intelligence technology integration;better irrigation system;economic growth;inefficient irrigation techniques;Internet of Things;IoT;irrigation systems;soil moisture;water waste;waters crops";;;;17;IEEE;24.7.2023;;;IEEE;IEEE Conferences
A Survey Paper On Weed Identification Using Deep Learning Techniques;"U. Gayathri; V. Praveena";"Department of Computer Science and Engineering, Dr. N. G. P Institute of Technology, Coimbatore; Department of Computer Science and Engineering, Dr. N. G. P Institute of Technology, Coimbatore";2023 International Conference on Computer Communication and Informatics (ICCCI);24.5.2023;2023;;;1;4;Agriculture is the fundamental art every country will embrace for its economy, which is necessary for all living things to live. The Farmers can reduce their total workload by applying technology to improve grain quality. The genuine steps that need to be taken by the farmers’ weed control and eradication practices result in increased plant growth and improved water-use efficiency, thereby allowing them to maximize crop yields with less effort and a higher percentage of growth. An Automatic detection and classification of weeds can play an important role in weed management to maximize the use of resources and minimize the cost of weed control. It is critical to use deep learning technology to identify and estimate weed. This survey paper describes the progress in weed detection and classification using the most recent technologies in the field of artificial intelligence, and image processing techniques. It includes detailed literature on the major strategies.;2473-7577;979-8-3503-4821-7;10.1109/ICCCI56745.2023.10128610;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10128610;"Agriculture;Weed identification;Deep learning;Image processing;Crop production;SVM algorithm;Random forest;etc.";"Surveys;Deep learning;Costs;Art;Image processing;Crops;Forestry";"agriculture;artificial intelligence;crops;deep learning (artificial intelligence);image processing";"agriculture;artificial intelligence;automatic detection;crop yields;deep learning technology;eradication practices;grain quality;image processing techniques;plant growth;water-use efficiency;weed identification;weed management";;;;11;IEEE;24.5.2023;;;IEEE;IEEE Conferences
IoT based Smart Agriculture Monitoring using Support Vector Machine;"S. Govindarajan; V. R. Prakash; V. B. Geo; H. Shekhar; M. Rajmohan";"Department of ECE, Sri Sairam Institute of Technology, Chennai, India; Department of ECE, Hindustan Institute of Technology and Science, Chennai, India; Department of ECE, Hindustan Institute of Technology and Science, Chennai, India; Department of ECE, Hindustan Institute of Technology and Science, Chennai, India; Department of ECE, Hindustan Institute of Technology and Science, Chennai, India";2023 International Conference on Applied Intelligence and Sustainable Computing (ICAISC);9.8.2023;2023;;;1;6;Agricultural environment monitoring systems based on several wireless sensors have been created to ensure optimal growth conditions. IoT sensing monitoring the agriculture area to transmit the data through wireless sensor medium. To make better analysis to monitor the agriculture filed to improve the cultivation based on machine learning approach. Various improper data analysis failed to predict the data. To resolve this problem, we propose a IoT based Smart agriculture monitoring using Support Vector Machine (SVM). This proposed system develops a multi-parameter monitoring system that will deliver real-time data to farmers and users over the internet. It consolidates the Internet of Things (IoT) and remote sensor networks in an innovative way to develop an intelligent remote agricultural monitoring system. Sensor hubs are decisively positioned throughout the field to gather information on innumerable targets. These readings are then displayed on the transmitter before leaving the base station via the XBee sensor. Organization and made a data set to screen sensor values. It can be used for ecological research and analysis. This proposed system produces higher performance compared to the other system.;;979-8-3503-2379-5;10.1109/ICAISC58445.2023.10200389;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10200389;"IoT;data analysis;agriculture sector;prediction feature selection;SVM classification";"Support vector machines;Wireless communication;Smart agriculture;Wireless sensor networks;Technological innovation;Transmitters;Crops";"agriculture;data analysis;ecology;Internet of Things;learning (artificial intelligence);support vector machines";"agricultural environment monitoring systems;agriculture area;base station;improper data analysis;intelligent remote agricultural monitoring system;IoT based smart agriculture monitoring;IoT sensing;machine learning approach;multiparameter monitoring system;optimal growth conditions;real-time data;remote sensor networks;sensor hubs;sensor values;support vector machine;wireless sensor medium;wireless sensors;XBee sensor";;;;15;IEEE;9.8.2023;;;IEEE;IEEE Conferences
The Prediction of Micro Plasma Impacts of Farm Fresh Vegetables Using Machine Learning;"M. G; K. Sundaramoorthy; K. Maheswari; T. Sajana; M. S. C; A. Kumar";"Department of Computational Intelligence, SRM Institute of Science and Technology, Kattankulathur, Tamil Nadu, India; Department of Information Technology, Jerusalem College of Engineering (Autonomous), Chennai, Tamil Nadu, India; Department of Computer Science and Engineering, CMR Technical Campus, Kandlakoya, Hyderabad, Telangana, India; Department of Artificial Intelligence and Data Science, Koneru Lakshmaiah Education Foundation, Vaddeswaram, Andhra Pradesh; Department of Computer Science and Business Systems, R. M K Engineering College, Chennai, Tamil Nadu, India; Department of Computer Science, BanasthaliVidyapith, Rajasthan, India";2023 International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering (ICECONF);3.4.2023;2023;;;1;6;In general, the innovative foods produced on fruit and vegetable based farms are always high quality and healthy. Indicators of fruit and vegetable consumption include plasma vitamin C and arytenoids, which are plant pigments discovered in blood samples. The researchers decided to utilize blood samples rather than the more common food frequency questionnaire in their investigation. to assess the amount of food consumed in order to forestall measuring errors and to establish dependencies. Because vitamin C and arytenoids may be found in a wide variety of fruits and vegetables, we can use them as objective measures of our consumption of these food groups. The fact that individuals who do not consume a diet that is abundant in fruits and vegetables do not consume significant quantities of vitamin C and arytenoids is reflected in the plasma levels of these individuals. In this paper a smart machine learning algorithm was proposed to predict the micro plasma impacts. This monitors the regular shape and harvesting of different farm fresh products and predicts the impacts of it. This will helpful for farmers to enhance the harvesting.;;979-8-3503-3436-4;10.1109/ICECONF57129.2023.10083906;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10083906;"Machine learning;Blood samples;Fruits and Vegetables;Healthy;Innovative foods;Plasma;Quality";"Machine learning algorithms;Shape;Measurement uncertainty;Machine learning;Pigments;Knowledge discovery;Plasmas";"agricultural products;agriculture;blood;food processing industry;food products;food safety;learning (artificial intelligence);pigments";"common food frequency questionnaire;farm fresh vegetables;innovative foods;microplasma impacts;plant pigments discovered;smart machine learning algorithm;vegetable consumption";;;;10;IEEE;3.4.2023;;;IEEE;IEEE Conferences
